year,quarter,policy_area,n_actions,n_appeals,n_restore_appl,n_restore_no_appl,proactive_rate
2017,4,Adult Nudity & Sexual Activity,20800000,NA,NA,NA,0.9440000000000001
2018,1,Adult Nudity & Sexual Activity,21000000,NA,NA,NA,0.958
2018,2,Adult Nudity & Sexual Activity,34900000,NA,NA,NA,0.9690000000000001
2018,3,Adult Nudity & Sexual Activity,31800000,NA,NA,NA,0.973
2018,4,Adult Nudity & Sexual Activity,28700000,NA,NA,NA,0.982
2019,1,Adult Nudity & Sexual Activity,24500000,3100000,472800,355600,0.982
2019,2,Adult Nudity & Sexual Activity,27800000,3800000,953800,67800,0.986
2019,3,Adult Nudity & Sexual Activity,30300000,3400000,813700,47100,0.988
2019,4,Adult Nudity & Sexual Activity,38900000,2800000,664900,53100,0.99
2020,1,Adult Nudity & Sexual Activity,39500000,2300000,612800,25200,0.992
2020,2,Adult Nudity & Sexual Activity,35800000,12600,100,10900,0.9840000000000001
2020,3,Adult Nudity & Sexual Activity,36600000,14800,200,18900,0.982
2020,4,Adult Nudity & Sexual Activity,28100000,306200,35100,281500,0.9790000000000001
2021,1,Adult Nudity & Sexual Activity,31800000,390100,73200,559800,0.986
2017,4,Bullying & Harassment,NA,NA,NA,NA,NA
2018,1,Bullying & Harassment,NA,NA,NA,NA,NA
2018,2,Bullying & Harassment,NA,NA,NA,NA,NA
2018,3,Bullying & Harassment,2000000,NA,NA,NA,0.14800000000000002
2018,4,Bullying & Harassment,2700000,NA,NA,NA,0.207
2019,1,Bullying & Harassment,2400000,475700,78900,800,0.14400000000000002
2019,2,Bullying & Harassment,2500000,410500,58100,4800,0.188
2019,3,Bullying & Harassment,3200000,713900,92900,6900,0.162
2019,4,Bullying & Harassment,2800000,697500,88300,5000,0.152
2020,1,Bullying & Harassment,2300000,552500,65800,1600,0.152
2020,2,Bullying & Harassment,2400000,600,80,43400,0.131
2020,3,Bullying & Harassment,3500000,14600,3000,393500,0.263
2020,4,Bullying & Harassment,6300000,442800,41000,131600,0.485
2021,1,Bullying & Harassment,8800000,935500,112600,178800,0.544
2017,4,Child Nudity & Sexual Exploitation,NA,NA,NA,NA,NA
2018,1,Child Nudity & Sexual Exploitation,NA,NA,NA,NA,NA
2018,2,Child Nudity & Sexual Exploitation,NA,NA,NA,NA,NA
2018,3,Child Nudity & Sexual Exploitation,9000000,NA,NA,NA,0.991
2018,4,Child Nudity & Sexual Exploitation,7200000,NA,NA,NA,0.993
2019,1,Child Nudity & Sexual Exploitation,5800000,27400,800,5300,0.991
2019,2,Child Nudity & Sexual Exploitation,6900000,145000,14200,1500,0.992
2019,3,Child Nudity & Sexual Exploitation,11400000,128800,13300,3400,0.995
2019,4,Child Nudity & Sexual Exploitation,13300000,72900,4400,2500,0.997
2020,1,Child Nudity & Sexual Exploitation,8600000,55000,3700,1000,0.995
2020,2,Child Nudity & Sexual Exploitation,9500000,40,0,70,0.992
2020,3,Child Nudity & Sexual Exploitation,12400000,300,0,1300,0.9940000000000001
2020,4,Child Nudity & Sexual Exploitation,5400000,4600,100,3300,0.987
2021,1,Child Nudity & Sexual Exploitation,5000000,3700,300,46700,0.9890000000000001
2017,4,Dangerous Orgs: Organized Hate,NA,NA,NA,NA,NA
2018,1,Dangerous Orgs: Organized Hate,NA,NA,NA,NA,NA
2018,2,Dangerous Orgs: Organized Hate,NA,NA,NA,NA,NA
2018,3,Dangerous Orgs: Organized Hate,NA,NA,NA,NA,NA
2018,4,Dangerous Orgs: Organized Hate,NA,NA,NA,NA,NA
2019,1,Dangerous Orgs: Organized Hate,NA,NA,NA,NA,NA
2019,2,Dangerous Orgs: Organized Hate,NA,NA,NA,NA,NA
2019,3,Dangerous Orgs: Organized Hate,NA,NA,NA,NA,NA
2019,4,Dangerous Orgs: Organized Hate,1600000,191800,40600,34900,0.893
2020,1,Dangerous Orgs: Organized Hate,4700000,232800,53700,11300,0.966
2020,2,Dangerous Orgs: Organized Hate,4000000,600,1600,133600,0.9690000000000001
2020,3,Dangerous Orgs: Organized Hate,4000000,21600,3800,123400,0.9740000000000001
2020,4,Dangerous Orgs: Organized Hate,6400000,137700,27200,204200,0.981
2021,1,Dangerous Orgs: Organized Hate,9800000,148600,45000,454700,0.986
2017,4,Dangerous Orgs: Terrorism,1100000,NA,NA,NA,0.9690000000000001
2018,1,Dangerous Orgs: Terrorism,1900000,NA,NA,NA,0.995
2018,2,Dangerous Orgs: Terrorism,9400000,NA,NA,NA,0.997
2018,3,Dangerous Orgs: Terrorism,3100000,NA,NA,NA,0.993
2018,4,Dangerous Orgs: Terrorism,4900000,NA,NA,NA,0.996
2019,1,Dangerous Orgs: Terrorism,8200000,83700,26700,151500,0.9890000000000001
2019,2,Dangerous Orgs: Terrorism,5900000,83600,18900,168600,0.988
2019,3,Dangerous Orgs: Terrorism,5200000,135100,32400,172100,0.985
2019,4,Dangerous Orgs: Terrorism,7600000,236100,54600,287900,0.99
2020,1,Dangerous Orgs: Terrorism,6300000,181600,23000,198900,0.991
2020,2,Dangerous Orgs: Terrorism,8700000,300,400,532800,0.996
2020,3,Dangerous Orgs: Terrorism,9700000,1700,100,125500,0.997
2020,4,Dangerous Orgs: Terrorism,8600000,50300,4300,51600,0.998
2021,1,Dangerous Orgs: Terrorism,9000000,38800,6500,63200,0.996
2017,4,Fake Accounts,694000000,NA,NA,NA,0.991
2018,1,Fake Accounts,583000000,NA,NA,NA,0.985
2018,2,Fake Accounts,800300000,NA,NA,NA,0.996
2018,3,Fake Accounts,754000000,NA,NA,NA,0.996
2018,4,Fake Accounts,1200000000,NA,NA,NA,0.997
2019,1,Fake Accounts,2200000000,NA,NA,NA,0.998
2019,2,Fake Accounts,1500000000,NA,NA,NA,0.997
2019,3,Fake Accounts,1700000000,NA,NA,NA,0.996
2019,4,Fake Accounts,1100000000,NA,NA,NA,0.993
2020,1,Fake Accounts,1700000000,NA,NA,NA,0.996
2020,2,Fake Accounts,1500000000,NA,NA,NA,0.995
2020,3,Fake Accounts,1300000000,NA,NA,NA,0.992
2020,4,Fake Accounts,1300000000,NA,NA,NA,0.995
2021,1,Fake Accounts,1300000000,NA,NA,NA,0.998
2017,4,Hate Speech,1600000,NA,NA,NA,0.23600000000000002
2018,1,Hate Speech,2500000,NA,NA,NA,0.38
2018,2,Hate Speech,2500000,NA,NA,NA,0.529
2018,3,Hate Speech,2900000,NA,NA,NA,0.529
2018,4,Hate Speech,3400000,NA,NA,NA,0.607
2019,1,Hate Speech,4000000,1100000,128700,700,0.687
2019,2,Hate Speech,4300000,1100000,114700,1500,0.711
2019,3,Hate Speech,6900000,1400000,166800,2200,0.8059999999999999
2019,4,Hate Speech,5500000,1000000,73100,2400,0.807
2020,1,Hate Speech,9500000,1200000,59600,1000,0.892
2020,2,Hate Speech,22500000,29900,4400,145700,0.9470000000000001
2020,3,Hate Speech,22100000,41000,4700,232400,0.9470000000000001
2020,4,Hate Speech,26900000,984000,48200,211100,0.97
2021,1,Hate Speech,25200000,1100000,84700,324000,0.968
2017,4,Regulated Goods: Drugs,NA,NA,NA,NA,NA
2018,1,Regulated Goods: Drugs,NA,NA,NA,NA,NA
2018,2,Regulated Goods: Drugs,NA,NA,NA,NA,NA
2018,3,Regulated Goods: Drugs,NA,NA,NA,NA,NA
2018,4,Regulated Goods: Drugs,572400,NA,NA,NA,0.7859999999999999
2019,1,Regulated Goods: Drugs,820000,79400,16300,400,0.8420000000000001
2019,2,Regulated Goods: Drugs,2600000,113300,22000,16400,0.956
2019,3,Regulated Goods: Drugs,4400000,134600,33600,28500,0.976
2019,4,Regulated Goods: Drugs,8800000,165300,51900,74700,0.9840000000000001
2020,1,Regulated Goods: Drugs,7900000,122400,27800,11600,0.99
2020,2,Regulated Goods: Drugs,5800000,28800,16900,46700,0.981
2020,3,Regulated Goods: Drugs,4700000,45000,6400,82900,0.9690000000000001
2020,4,Regulated Goods: Drugs,4300000,80200,58600,316400,0.971
2021,1,Regulated Goods: Drugs,3200000,36400,14900,97100,0.9420000000000001
2017,4,Regulated Goods: Firearms,NA,NA,NA,NA,NA
2018,1,Regulated Goods: Firearms,NA,NA,NA,NA,NA
2018,2,Regulated Goods: Firearms,NA,NA,NA,NA,NA
2018,3,Regulated Goods: Firearms,NA,NA,NA,NA,NA
2018,4,Regulated Goods: Firearms,689800,NA,NA,NA,0.647
2019,1,Regulated Goods: Firearms,609100,73800,5900,700,0.6990000000000001
2019,2,Regulated Goods: Firearms,2500000,150700,14400,13300,0.9570000000000001
2019,3,Regulated Goods: Firearms,2300000,196300,10200,19400,0.938
2019,4,Regulated Goods: Firearms,2200000,150500,8700,12500,0.91
2020,1,Regulated Goods: Firearms,1400000,109200,5100,4500,0.9279999999999999
2020,2,Regulated Goods: Firearms,1300000,41000,4600,9100,0.917
2020,3,Regulated Goods: Firearms,1100000,36100,2100,7700,0.915
2020,4,Regulated Goods: Firearms,1300000,44100,7100,24900,0.92
2021,1,Regulated Goods: Firearms,1900000,125300,39600,128100,0.948
2017,4,Spam,727000000,NA,NA,NA,0.998
2018,1,Spam,836000000,NA,NA,NA,0.997
2018,2,Spam,957000000,NA,NA,NA,0.997
2018,3,Spam,1200000000,NA,NA,NA,0.997
2018,4,Spam,2000000000,NA,NA,NA,0.9990000000000001
2019,1,Spam,1800000000,19900000,5300000,31800000,0.9990000000000001
2019,2,Spam,2200000000,19600000,5200000,110200000,0.9990000000000001
2019,3,Spam,1900000000,8500000,2500000,109300000,0.9990000000000001
2019,4,Spam,2900000000,3600000,527300,31600000,0.9990000000000001
2020,1,Spam,1900000000,2200000,536000,94500000,0.998
2020,2,Spam,1400000000,95300,24800,43700000,0.998
2020,3,Spam,1900000000,25900,90,74900000,0.9990000000000001
2020,4,Spam,1000000000,31100,800,21400000,0.998
2021,1,Spam,904900000,5500,1000,36000000,0.998
2017,4,Suicide and Self-Injury,NA,NA,NA,NA,NA
2018,1,Suicide and Self-Injury,NA,NA,NA,NA,NA
2018,2,Suicide and Self-Injury,NA,NA,NA,NA,NA
2018,3,Suicide and Self-Injury,NA,NA,NA,NA,NA
2018,4,Suicide and Self-Injury,NA,NA,NA,NA,NA
2019,1,Suicide and Self-Injury,NA,NA,NA,NA,NA
2019,2,Suicide and Self-Injury,2000000,49100,6100,100,0.965
2019,3,Suicide and Self-Injury,2500000,43500,5900,200,0.968
2019,4,Suicide and Self-Injury,5100000,57800,10700,300,0.971
2020,1,Suicide and Self-Injury,1700000,21600,4100,200,0.976
2020,2,Suicide and Self-Injury,942300,10,50,70,0.978
2020,3,Suicide and Self-Injury,1400000,0,0,100,0.981
2020,4,Suicide and Self-Injury,2500000,700,100,3700,0.9279999999999999
2021,1,Suicide and Self-Injury,5000000,800,100,185500,0.981
2017,4,Violent & Graphic Content,1200000,NA,NA,NA,0.716
2018,1,Violent & Graphic Content,3400000,NA,NA,NA,0.856
2018,2,Violent & Graphic Content,7900000,NA,NA,NA,0.965
2018,3,Violent & Graphic Content,15900000,NA,NA,NA,0.9670000000000001
2018,4,Violent & Graphic Content,18900000,NA,NA,NA,0.982
2019,1,Violent & Graphic Content,33300000,158000,24100,38700,0.991
2019,2,Violent & Graphic Content,29200000,216900,25100,2100,0.992
2019,3,Violent & Graphic Content,25100000,603700,14900,2000,0.99
2019,4,Violent & Graphic Content,34700000,607800,5100,700,0.993
2020,1,Violent & Graphic Content,25200000,480400,119200,1500,0.99
2020,2,Violent & Graphic Content,14900000,700,20,200,0.995
2020,3,Violent & Graphic Content,19100000,500,90,700,0.995
2020,4,Violent & Graphic Content,15900000,3900,500,4900,0.9940000000000001
2021,1,Violent & Graphic Content,34300000,3700,1000,10500,0.997
